Comment Number,Comment Content
1,"Unsteady Biden, a Subdued Trump: The Debate Analyzed.<br><br><a href=""https://www.youtube.com/watch?v=MEwbfi9t1Zs"">https://youtu.be/MEwbfi9t1Zs?si=pdgGH-C69OLmQjdd</a>"
2,Trump 2024
3,Round 2: Eat Kama-Lama-Ding-Bat for breakfast. TRUMP 2024 🇺🇸. Save our Country
4,A basket of groceries now cost more than 120$ what world are you living in buddy? Its more like 230$
5,👑
6,👑
7,Sleepy joe
8,9i don&#39;t know why this embarrassment reminds me of  Jeb Bush in &quot;please clap&quot; situation 😅😅😅
9,Don’t let the leftist media fool you. Trump ran circles over this old corrupt career politician so bad his own party diverted democracy and kicked him out before his term could even end 😭😭😭😭
10,"Biden is a puppet 15,000new jobs wow so no jobs basically we&#39;re new"
11,Number 1 number 2 number 3
12,Bidaen and CNN are a joke
13,"Trump, your just a show  man!"
14,"Trump! Your guilty, maybe not all charges."
15,Suddendly I would 100% vote for Trump and I’m not American.
16,日本に住んでいますが、政治のトップのポストには愚かな人が向いているのでしょうか？
17,Not he talked to Brandon and they want him back 🤣🤣
18,Trump won this in a landslide...<br>Wow
19,Wow that’s crazy sleepy joe bc my insulin is literally 453$ w/o insurance 😂😂😂 &amp; groceries are 2.5X more money AT least
20,"i really enjoyed this , i’m a US Solider now so i really paid attention to the debate"
21,kinda crazy how joe keeps talking about how good our military is like he built it and isnt destroying it
22,"Trump definitely hammered Biden! <a href=""http://www.youtube.com/results?search_query=%23trump2024"">#trump2024</a>"
23,最新のホラー映画：イスラエルの兵士がアメリカの武器でアラブの女性と子供を殺害するイベント
24,Biden 🤖
25,this cant be presidential debate can it? <br>more likely this looks like siblings arguing with each other
26,"Nowadays, if you don&#39;t what to watch on YouTube and it&#39;s Election year, you end up watching politics. You end up watching debates and watching Trump talk or something. You watch politics."
27,"If you cannot pair a speaker via Bluetooth on your Iphone, you are ineligible to run....."
28,"I’ve never seen Anderson Cooper so upset before, that’s so hysterical"
29,Y
30,lol Biden brings $200.00 pharmaceuticals around the dinner table apparently
31,The troops didn’t die on Biden watch because they ran away living all the artillery behind 😂😂😂
32,Trump ended him 🤣🍻🍻🇺🇸
33,TRUMP 2024
34,TRUMP 2024
