Comment Number,Comment Content
1,Please answer the questions for God sake!! We need to know which each party will offer in change for our nation not which President is the worst every question!!
2,I would rather watch them box it out In the ring
3,Wes 🖐☻️
4,In the first debate biden kept saying like a broken record &quot;heres the deal&quot; and now he kept saying &quot;by the way by the way&quot;
5,Biasa bush tulien ta latihan❤nawi
6,Nawi digu maning pinter kadang pembual kadang dll ❤😂
7,Trump won. He’s bringing the facts for the most part. Joe don’t know wth going on.
8,"I really want know what historians, U.S Government/ U.S History professors and socal studies teachers think of this debate right now."
9,In❤
10,=😂🌍☻️
11,Ngerti benar h!!❤
12,Ngerti hemm❤
13,"I hadn’t watched the full debate till just now. Gotta say I didn’t think Biden did AS bad as everyone is making it out to be. I’m 100% positive he is beyond early stages of dementia or some other cognitive issue but I was expecting far worse. Now that being said, I can only imagine what he’s going to look like in another year or two…<br><br>Trump was basically what I expected. A handful of decent talking points mixed with a mountain of hyperbole."
14,Biden administration destroying the middle class - now we see why - he&#39;s been absent from his body this whole time
15,"Because I am proud of the United States of America and United States of Africa remember forgotten.I help Trump in this campaign .Only the new tradition proned by Mandela isnot good.if Joe is 100years old,he can continue to stay in chief of the Un organisation.But I think that my référence Trump is reelly the best choice."
16,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=714"">11:54</a> &quot;I skibidi rizz&quot;  Bro...💀💀💀"
17,"can&#39;t you see, America?"
18,Is this American presidential debate believe me I laugh the whole time I think it&#39;s pure entertainment 😂.
19,"The fact that Hawaii is stuck in this sucks!  😩😩 <a href=""http://www.youtube.com/results?search_query=%23jesushelpamerica"">#JesusHelpAmerica</a>"
20,We go with trump...biden is a top failure
21,Trump is much more cognitive.
22,I think the real question is who is really running this country? It cannot be Biden  making decisions due to his cognitive issues . <br> I suspect probably his wife.
23,Nang mata koh who❤
24,Who adem kok❤
25,Lareki buku eropia no hitler❤
26,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=717"">11:57</a> so you don’t have to find the “we finally beat Medicare” part"
27,Marine iku koh ada pengaruh❤
28,Demen nang byden q ngewates yoiku demi us hre trump❤
29,Amuke wong banyuwangi rr❤
30,Yo sirok ison biasae pengalaman ono bain mangkane nantang❤
31,Hengusah nantang aju lookk work🌍☻️
32,i&#39;m gonna tell my kids this was an SNL sketch
33,Joes is beating a dead horse with all the lies .
34,Engko kesel lokk trump😮
35,Yo gedi q mosok mortir damai klendi tp❤
36,❤
37,GO CHIEFS!!!!!!!!!
38,"Coming and live in Australia....<br>We have the Highest House Prices in the World, Sydney Australia is the Second Most Expensive City in the World Today....<br>So Dont Bother Coming Here for a Holiday  your Wasting your Money"
39,Biden talks like who is lifeless! He hasn&#39;t got a clue. He&#39;s not fit to run
40,The best part was when trump says &quot;I really dont know what he was saying in the end&quot; 😂😂😂
41,"Nice work. Do your homework on Dave, he’s a legit conservative. Tulsi is also great."
42,Biden is old change trump next president again
43,So who will u vote? Is it Biden or Trump?
44,I think the debate questions shouldnt ve given beforehand..
45,I want to win trump he is true America near to world 3
46,Two clowns
47,These guys are the aliens from the Simpsons
48,I THINK OUR ECONOMY WWW GREAT WHEN TRUMP WAS IN OFFICE TRUMP 2024
49,The only thing more embarrassing than this debate is the fact that there are now people who were very vocal about never ever voting for trump who will now give him their vote. <br>Imagine being that much of a screw up that you turn people towards the person they vowed never to back 🤦🏼‍♀️🤣
50,I hate that they&#39;re not answering the questions
51,These 2 old men should retire from politics.
52,This. For.  Biden.   My.  @.   shadowens.   Scott.  Live. Trump.  him.   along.   am. In.  Moing.    Care.   V.  Scott.  Vote.    For.   Trump
53,Elder Residents: Shadow of the White House.<br>It&#39;s what this nightmare is.
54,God i hope Trump can turn this country back to where we need to be before 2028.  VOTE FOR TRUMP 2024 !
55,I swear Trump didn&#39;t need to prepare.  Joe handed him the entire debate
56,You trvyhe fill o the pesitt😊
57,I already knew to vote for Trump. But now it&#39;s very obvious.<br>Biden just lies about what &#39;they are gonna do&#39; while Trump tells it how it really is.
58,“There’s motion between us” 💸💎🥶
59,"Trump is the man we all need, biden has destroyed this great country.... The world needs Trump"
60,"On the survey Trump was 43 rd out of 45 from worst to best. Joe has problems with communication but the survey claims he&#39;s actually doing something for the country compared to Trump. Yeah right, replace Obamas spot with Trump, Trumps spot with Biden and Biden&#39;s spot with Obama"
61,I skibidi with
62,Dr Jilly husband best friend of Joey Biden that time was threanted by Joey pure evil and criminal Joey Biden
63,Trump is just the same slavering guy but America this is your 2 best guys . Change the system.  Take money out off politics its vile promises from big monetary interest groups.  We will do this we will do that nope nothing to help the ordinary man and woman.   Americans just wow this is rough
64,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋
65,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋
66,"They created 15,000 jobs in a country of 300 million people... keep that to yourself.."
67,Biden  Number 1  Starts of slightly coherently .<br>             Number  2  Starts to forgetting about number 1<br>             Number  3  Starts  to a complete word Salad  🥗 end with a mumbling.
68,The bills have went up everywhere in the west we need a peace deal in Ukraine 🇺🇦  and Russia 🇷🇺
69,Biden sounds foreign and looks like a robot.
70,We paid into Social Security our whole working lives. No immigrant should get a penny of it or Medicare
71,"I think President Biden shouldn&#39;t have been allowed to engage the debate, a bit of slurred speeches. Isn&#39;t it appropriate for someone to act in his place? Not very easy being an opposition to a prospective and eloquent president like Mr. Trump. I admire the courage of Joe Biden, he stood tall with valid points in my opinion."
72,Benjamin Netanyahu had warnings I&#39;m sure he knew something it&#39;s pretty obvious that what he is upto
73,"Julius Malena said it best, you can have a platform to speak and say nothing, that is Mr Joe biden."
74,Just rewatch this masterpiece again lol.
75,this video has 20 million views
76,I remember Trump planted 3 million trees around USA 🇺🇸nothing done from Bydins  gang exept for there pockets
77,This debates was  fantastic they did well except the situation of Israel and Palestinian and Ukrainian no good answer rather then blaming each other
78,"looks like Biden needs a medic. sad he is even a choice... Trump is kind of a joke, but better then biden"
79,lol wow just wow Biden never should have been president and I voted for trump both times will be voting again for him watching this is just sad man Biden is so far gone it’s crazy man
80,If blacks dont vote for Joey Obiden they are not blacks  but wise
81,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=12"">0:12</a>"
82,"What I’m seeing from Joe Biden so far after watching half of this “debate” is him mirroring Trump in the way he speaks lol… and constantly accusing him of being a liar with no real evidence to support how he’s lying…… so far this is a massive L for him. <br>Donald Trump is coming through with a far better argument even though I’m not siding with either of them because I think they’re both imbeciles in their own special way. <br>RIP America, was it nice knowing you ? No, not really but you were definitely something."
83,President Trump all the way 2024 🇺🇸 we pray that Byedin doesnt fall victim to Killery and Obumba scary times indeed 😉
84,Good debate but Trump    had credible points indeed
85,Pure entertainment 😂🤣🤣🤣😂
86,Byedins  real wife cursed Dr Jilly and Joey Byedin before she passed away for what they did to her pure evil 😈
87,And also he dodges to his republican people who are saying its all hoax about climate change<br><br>The question about climate change that is. Thats what im talking here
88,"Why the eff is he numbering his answers 🤣🤣that shows poor presidencies....😭<br><a href=""http://www.youtube.com/results?search_query=%23vote4trump"">#vote4trump</a>🇺🇸❤"
89,so y’all get sleepy joe or orange caterpillar
90,This debate makes it clear that the people who are really ruling the world are rubbing our faces in the fact that politics is now a complete joke and democracy is an illusion.
91,Nobody trusts CNN
92,They did everything they could to boost Biden and make Trump look bad. Biden still fumbled and bumbled throughout the entire debate...
93,"SNL doesn’t need to make a parody, the original is Gold enough 🤣"
94,lol madness.
95,nothing but lies
96,CNN is corupt and work with government..they knew of Biden failing.
97,"Biden is embarrassing and Trump said an impressive amount of lies, great"
98,Its so obvious that Biden doesmt understand economy
99,Exactly the same battle that happened in 2020
100,"Joe Biden is the worst president in the twenty first century. <br><br>Crime has risen, inflation out of control, border&#39;s being overrun, leaving Americans and military equipment behind in Afghanistan, people loosing their jobs over vaccine mandates, Russian and China on the move, increased taxes across the board and many other issues that could have been prevented."
101,Every time Biden speaks I have to turn on the subtitle 😂
102,Joey Byedin  cares for other nations but not Americans Byedin is a joke that make you broke and woke 😂😂😂😂
103,I am a foreigner and I do not live in USA. NOT EVEN IN AMERICA AT ALL. I ENJOY THIS!!!
104,"I think america is colapsing as rome did you are the president and jurnalist stops you in the middle of sentence how you can care, america will dye as rome its happening right now under obama and biden not mr President Kennedy"
105,Debat senggol dong
106,Those two are not fit to president&#39;s 🤦
107,"Trump said to biden:<br>I don’t know what he said and i don’t think he knows what he said either.<br>America The greatest country in the world have this kind of president for 4decades? Wowww, i respect. Nice good job america."
108,Who came here to laugh
109,"President <br>Biden you should quit, you cannot menage this"
110,No new wars under Trump. Wars around the world under Biden. Indisputable fact. Exact opposite of what the tv told us.
111,F&#39;s in chat America is cooked lol.
112,what about the kitchen table?
113,This is hilarious 🥲
114,"Biden looks like the white version of Al Sharptongue. <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4940"">1:22:20</a>,"
115,"Wait lol did he just say that in the 4 years he’s been president he’s only created 15,000 new jobs and then a further 800,000 manufacturing jobs 🤦🏼‍♀️🤣 in a country that has a population of roughly 300mil ???? <br>Of course there’s more to be done, you’ve done nothing."
116,"Someone that is in Joes mental state should not be allowed to be in any type of power, let alone the president of the United States."
117,Biden should be thrown in prison for life.
118,Joe has made the U.S. a laughing stock.
119,I get why people are concerned for Biden&#39;s mental acuity; but I don&#39;t understand either why people see Trump as a strong candidate when he doesn&#39;t speak any more clearly than Biden? Help me understand please.
120,"I’m not American. I’m your neighbor from up north. This debate is as bad, if not worse, than our politicians up here. Yikes!"
121,Biden is such a Disgrace to Our Country get Rid of him
122,The idea that joke biden is on stage debating w/ oldtimers instead of sleeping in a cellar is a bad idea.
123,"It&#39;s funny they are asking Trump about ending political violence, when he has just been the victim of such on the highest level, as Biden has indicted him just because he is his opponent in this election. Incredible."
124,The more CNN makes it blatantly obvious that they&#39;re hand holding Biden throughout this whole thing and still bidens falling just adds more support for Trump always remember that
125,"YUP,YUP,YUP!!!!;Trump IS Right about all of this stuff except abortion, what woman wants there state to make her medicle decisions that should not be anyones bussiness!! So how do we get everything else fixed,( with trump)  but let go of our rights??!!. That&#39;s what is making me toss and turn ..."
126,Biden voice is dying
127,Yoo dont u guys have somebody else better for president? Seriously? 😂
128,I&#39;ve no dog in this fight but crazy joe...has gotta go...
129,Trump2024✅
130,Can&#39;t someone mute this &quot;and by the way&quot; president? It is very heavy to listen to him.
131,Painful to watch this circus 🎪
132,Why do the presidents have to be on death&#39;s door tho?
133,I&#39;m a veteran and I hate Biden
134,"What president Trump says is just common sense too.. I mean, let’s pretend for a second that the phenomenon of 3rd world nations emptying their prisons into the US isn’t well documented.. it is, but let’s pretend it’s not.. WHY WOULDN’T THEY DO THAT??? Biden told the world we’d let them in with no vetting. Of course they’re going to dump vast quantities of troubled individuals into our once great nation. Leaders in those countries would be crazy not to do that."
135,"Biden is not in Good health to run, needs to Retire."
136,"People don&#39;t care about the national debt, they care about  the economy!!!!!"
137,Biden is a major Liar!!!!!!
138,The Old Man is delusional
139,Biden&#39;s faces from LA Noire give me nightmares
140,Nigeria should learn from this
141,I hate how neither of them answered too many questions but instead would continue their previous point
142,&quot;...we beat medicaid!&quot;<br><br>I...didn&#39;t know we&#39;re fighting medicaid? I thought medicaid helped people but I guess I could be wrong. O.o
