Comment Number,Comment Content
1,We got this now Kamala 2024 woooooo hoooook
2,TRUMP FOR PRESIDENT FOREVER!!!!
3,Kamala Harris will not withstand the public scrutiny going all the way back to back Her indiscretions with Willie Brown Who gave her two political appointments for her shall we say favors not to mention her absolute inability to grasp any serious concepts and speak on anything with any conviction. This is going to be hilarious. But I really don&#39;t think Democratic donors are gonna put their weight behind her so it&#39;s probably a non issue
4,She is not going to win!!
5,Trump old and out dated
6,Where do you get these Democratic Strategists????? Very detached from Reality
7,Do better America.
8,From 0%-100% ....what chance does Kamala have to win the Presidential election?
9,Biden to Harris....from the fat into the fire.<br>US politics is bizarre to the Nth degree.<br>It has now become an open door for Trump.
10,Shes unlikable like Hilary
11,Kamala Harris will not withstand the public scrutiny going all the way back to back Her indiscretions with Willie Brown Who gave her two political appointments for her shall we say favors not to mention her absolute inability to grasp any serious concepts and speak on anything with any conviction. This is going to be hilarious. But I really don&#39;t think Democratic donors are gonna put their weight behind her so it&#39;s probably a non issue
12,Who needs old men who think Airports were in 1776
13,America won&#39;t have any borders left.
14,Young young Kamala is old too🤡🤡🤡 she’s she’s like in her late 50s that’s not young at all either btw
15,She will be what she can be...having been burdened by what has been. Then we will all be what we can be when being unburden by what has been...when it was and when it will be after being what was once been what it has been...
16,This is what all those Black Female superhero video games and movies was getting us ready for.
17,The only strong thing about harris is her breathe and her odor. Trump 2024
18,"Vice President Kamala Harris should from now on, do all President issues, so they are common and can imagine that vice is not anymore. She is from now on till november President and after that, too. She is the right choice, she should visit now all leaders in world. To be be active now as a President. So President Joe Biden should step back from now on and let the thunder and the glamour shine on Kamala Harris. God Bless America. 🇺🇸"
19,There’s many canadiates in the Republican Party the democrat party has bunch of old goons if kamala steps down too
20,Bob Marley Convention 🎵 song
21,Nothing could be better for the Trump campaign than a Harris run at the presidency!
22,She will become the president who’s locked up the most Black people in history
23,worst choice ever 😂 She&#39;s in charge of the border its a good indicator of her incompetence
24,Not the hackling liar 🤥🤣🤣🤣
25,Not your body
26,😂😂😂😂😂 welp
27,She is from Jamaica Mon
28,The second woman Trump beats
29,"Trump is now the only rich, white, out of touch, old candidate 😅"
30,"Younger than Biden or trump, nobody can complain about age. She&#39;s GOTTA BEAT #45, or we&#39;re DOOMED as Americans"
31,She will rip trump to sreds she is a good prosecuting attorney and way way smarter than trump
32,Trump going to win easy work
33,No!! Please no Kamala!! She’s not stable!!😂
34,She got smoked by Tulsi
35,The Democrat coup is allllmost complete.  Talk about a threat to democracy.....
36,She is incompetent at all.
37,"Na, that video of Tulsi gabbard destroyed her chances."
38,hahaha some lol
39,Time for someone young. Trump is too old.
40,I will admit that after everything in the past few days it seems like trump has an extremely high chance of winning this election with most of the favorability going to him. As a republican and trump supporter I would want trump to win because of the great qualities and opportunities for the nation that he brings to the table. I’m glad the Joe Biden finally stepped down because it was obvious that he was not fit for another four years in office. Now thankfully his VP is the democratic nominee for president and she seems fit for the presidency as well although at this point I don’t believe she will win but possibly in the future since she seems favorable to most people.
41,We had no primary so i already decided not to vote.  It doesn&#39;t matter if joe stepped aside. Its too late.
42,"Wow, so even the WSJ is already campaigning for Harris now with this political a--I mean news video."
43,"One more presidential debate in the near the horizon, right? Let&#39;s see how Kamala fare against Trump. One can then decide whether Democrats should refocus for 2028 presidential election."
44,"Only a few days ago, Biden still insisted that he was the best qualified person to be the president and the best to defeat Trump. Now she is! She did not get far in 2020. She was picked up for VP purely because of her color and gender. Period."
45,Kamala the joke
46,White America &gt; everything else
47,Kamala 😂. Kamala running for president 😂
48,She won’t even be the nominee.
49,Who edited this video? 🗑️
50,Black voters should have learnt their lesson by now….
51,This could be concerning.<br>The many that will not vote for Joe may vote for her…<br>People vote with their hearts not their minds…
52,"She has the audacity to say Trump doesn&#39;t have the character to be President??  Ask the then married S.F. Mayor, Willie Brown, about Kamala&#39;s &#39;good character&#39;, LOL!  Not good character you can brag about, Kamala...."
53,Trump already won.
54,Give me a break
55,A vote for Harris is a vote against Project 2025.
56,"She doesn&#39;t appear to have the experience. She&#39;s, dare I say, far too young in the eyes of most voters. Regardless of her reality; those perceptions will hurt her at the poll."
57,Harris laugh is so weird
58,🤣🤣🤣🤣
59,"I&#39;m disappointed at how many doubters there are. I know a lot of people hate Kamala. I admit, I probably haven&#39;t seen her speak as much as those people, but what I do know, is she will be able to speak coherently, and hopefully be able to actually talk back to Trump in a debate environment. Assuming she&#39;s the nominee. I feel nothing but relief that it isn&#39;t entirely resting on Biden now. Even if it&#39;s a slim chance, at least we&#39;ll have someone who doesn&#39;t freeze up on stage."
60,God bless President Biden! And God bless the next democratic nominee and president of the United States of America!!!
61,"Another fake news bias report by Wall street Jouranal. Hey why don&#39;t you guys do a report about related hedge firm Blackrock trying to short their Donald Trump stock a day before the hit and told the SEC to unlisted it day later on their filings site when people found out , oh yeah , I forgot , your fake news !!!"
62,I would LOVE to see Joey&#39;s face when he&#39;s finally told he dropped out of the race earlier today.
63,"No thank you, for Harris. We need a stronger candidate!"
64,😂😂😂😂😂 are you kidding me? I want what you’re smoking!
65,I saw on the Simpson she is the President and they are all ways right 🎉🎉🎉🎉🎉🎉🎉
66,laughable. NO she is worse than Biden as if that was possible!
67,"Kamala knows what can be, unburdened By what has been..."
68,"Bruh, she couldn&#39;t even win the primary for her own party. How is she gonna win the election?? Not gonna happen"
69,"Please someone name ONE thing that KH achieved as VP USA...I hear crickets...ZIP...NIL...ZERO - Oh, OPEN BORDER CZAR!!"
70,Kamala WHO?????  Trump2024<br>Trump has my vote
71,No chnace at all
72,She is a joke an will lose 100 %
