Comment Number,Comment Content,Processed comments
1,"Unsteady Biden, a Subdued Trump: The Debate Analyzed.<br><br><a href=""https://www.youtube.com/watch?v=MEwbfi9t1Zs"">https://youtu.be/MEwbfi9t1Zs?si=pdgGH-C69OLmQjdd</a>",unsteady biden subdued trump debate analyzed br br href http www youtube com watch v mewbfitzs http youtu mewbfitzs si pdggh colmqjdd
2,Nah the way they be cutting them off sayin thank you is crazy💀,nah way cutting sayin thank crazy
3,Bro I could never be one of these judges I would be weak asf,bro could never one judge would weak asf
4,Trump cooked 🔥🔥🗣️🗣️🔥🔥🔥🗣️🗣️,trump cooked
5,This feels like a horrid nightmare finally receding into the depths from whence it came. The difference one month can make.,feel like horrid nightmare finally receding depth whence came difference one month make
6,trump yeah,trump yeah
7,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=465"">7:45</a>",href http www youtube com watch v qqggydce amp
8,👈 I AM VOTING FOR THIS GUY! I BELIEVE HE&#39;S THE ONE &amp; ONLY LORD GOD REINCARNATED AND I AM VOTING TO SEEK HIS FACE!,voting guy believe one amp lord god reincarnated voting seek face
9,Biden is the God!,biden god
10,Trump debating Biden this early was a mistake. it gave dems a chance to change course if he debated him in September Trump would have easily won,trump debating biden early mistake gave dems chance change course debated september trump would easily
11,When trump says something Biden face “😧😦”,trump say something biden face
12,"No 1 , No 2 , No 3 “ eeeeawwwsaassaweeehkkkjkkkkgfff” 🫷🏻",eeeeawwwsaassaweeehkkkjkkkkgfff
13,As a pakistani i was thinking we  just have stupid politicians but haha 😂😂😂,pakistani thinking stupid politician haha
14,"Is this a parody???  I feel so bad for biden, you can just see how hard they attack Trump and how they try to make biden look good…they dont realize this makes Trump look strong and biden look like an old grandpa that is mean but since hes old and your moms dad you have to be respectful.",parody feel bad biden see hard attack trump try make biden look goodthey dont realize make trump look strong biden look like old grandpa mean since he old mom dad respectful
15,Answer the can questions,answer question
16,Biden will definitely perform better in the 2028 debate,biden definitely perform better debate
17,All Trump can bring up is immigrants...,trump bring immigrant
18,Biden is literally seeking retribution as he is saying no president has ever said they will seek retribution. Insane,biden literally seeking retribution saying president ever said seek retribution insane
19,Embarrassing,embarrassing
20,When is the one with kamala ?,one kamala
21,😂😂❤❤Mr. Donald Trump did Great!!,mr donald trump great
22,Trump no,trump
23,Two. E😮y😅es. View,two eye view
24,Joebiden 4th president congratulations 🎊,joebiden th president congratulation
