Comment Number,Comment Content,Processed comments
1,"They created 15,000 jobs in a country of 300 million people... keep that to yourself..",created job country million people keep
2,Biden  Number 1  Starts of slightly coherently .<br>             Number  2  Starts to forgetting about number 1<br>             Number  3  Starts  to a complete word Salad  🥗 end with a mumbling.,biden number start slightly coherently number start forgetting number number start complete word salad end mumbling
3,The bills have went up everywhere in the west we need a peace deal in Ukraine 🇺🇦  and Russia 🇷🇺,bill went everywhere west need peace deal ukraine russia
4,Biden sounds foreign and looks like a robot.,biden sound foreign look like robot
5,We paid into Social Security our whole working lives. No immigrant should get a penny of it or Medicare,paid social security whole working life immigrant get penny medicare
6,"I think President Biden shouldn&#39;t have been allowed to engage the debate, a bit of slurred speeches. Isn&#39;t it appropriate for someone to act in his place? Not very easy being an opposition to a prospective and eloquent president like Mr. Trump. I admire the courage of Joe Biden, he stood tall with valid points in my opinion.",think president biden not allowed engage debate bit slurred speech not appropriate someone act place not easy opposition prospective eloquent president like mr trump admire courage joe biden stood tall valid point opinion
7,Benjamin Netanyahu had warnings I&#39;m sure he knew something it&#39;s pretty obvious that what he is upto,benjamin netanyahu warning sure knew something pretty obvious upto
8,"Julius Malena said it best, you can have a platform to speak and say nothing, that is Mr Joe biden.",julius malena said best platform speak say nothing mr joe biden
9,Just rewatch this masterpiece again lol.,rewatch masterpiece lol
10,this video has 20 million views,video million view
11,I remember Trump planted 3 million trees around USA 🇺🇸nothing done from Bydins  gang exept for there pockets,remember trump planted million tree around usa nothing done bydins gang exept pocket
12,This debates was  fantastic they did well except the situation of Israel and Palestinian and Ukrainian no good answer rather then blaming each other,debate fantastic well except situation israel palestinian ukrainian good answer rather blaming
13,"looks like Biden needs a medic. sad he is even a choice... Trump is kind of a joke, but better then biden",look like biden need medic sad even choice trump kind joke better biden
14,lol wow just wow Biden never should have been president and I voted for trump both times will be voting again for him watching this is just sad man Biden is so far gone it’s crazy man,lol wow wow biden never president voted trump time voting watching sad man biden far gone crazy man
15,If blacks dont vote for Joey Obiden they are not blacks  but wise,black not vote joey obiden not black wise
17,"What I’m seeing from Joe Biden so far after watching half of this “debate” is him mirroring Trump in the way he speaks lol… and constantly accusing him of being a liar with no real evidence to support how he’s lying…… so far this is a massive L for him. <br>Donald Trump is coming through with a far better argument even though I’m not siding with either of them because I think they’re both imbeciles in their own special way. <br>RIP America, was it nice knowing you ? No, not really but you were definitely something.",seeing joe biden far watching half debate mirroring trump way speaks lol constantly accusing liar real evidence support lying far massive l donald trump coming far better argument even though not siding either think imbecile special way rip america nice knowing not really definitely something
18,President Trump all the way 2024 🇺🇸 we pray that Byedin doesnt fall victim to Killery and Obumba scary times indeed 😉,president trump way pray byedin not fall victim killery obumba scary time indeed
19,Good debate but Trump    had credible points indeed,good debate trump credible point indeed
20,Pure entertainment 😂🤣🤣🤣😂,pure entertainment
21,Byedins  real wife cursed Dr Jilly and Joey Byedin before she passed away for what they did to her pure evil 😈,byedins real wife cursed dr jilly joey byedin passed away pure evil
22,And also he dodges to his republican people who are saying its all hoax about climate change<br><br>The question about climate change that is. Thats what im talking here,also dodge republican people saying hoax climate changethe question climate change talking
23,"Why the eff is he numbering his answers 🤣🤣that shows poor presidencies....😭<br><a href=""http://www.youtube.com/results?search_query=%23vote4trump"">#vote4trump</a>🇺🇸❤",eff numbering answer show poor presidenciesvotetrump
24,so y’all get sleepy joe or orange caterpillar,get sleepy joe orange caterpillar
25,This debate makes it clear that the people who are really ruling the world are rubbing our faces in the fact that politics is now a complete joke and democracy is an illusion.,debate make clear people really ruling world rubbing face fact politics complete joke democracy illusion
26,Nobody trusts CNN,nobody trust cnn
27,They did everything they could to boost Biden and make Trump look bad. Biden still fumbled and bumbled throughout the entire debate...,everything could boost biden make trump look bad biden still fumbled bumbled throughout entire debate
28,"SNL doesn’t need to make a parody, the original is Gold enough 🤣",snl not need make parody original gold enough
29,lol madness.,lol madness
30,nothing but lies,nothing lie
31,CNN is corupt and work with government..they knew of Biden failing.,cnn corupt work governmentthey knew biden failing
32,"Biden is embarrassing and Trump said an impressive amount of lies, great",biden embarrassing trump said impressive amount lie great
33,Its so obvious that Biden doesmt understand economy,obvious biden doesmt understand economy
34,Exactly the same battle that happened in 2020,exactly battle happened
35,"Joe Biden is the worst president in the twenty first century. <br><br>Crime has risen, inflation out of control, border&#39;s being overrun, leaving Americans and military equipment behind in Afghanistan, people loosing their jobs over vaccine mandates, Russian and China on the move, increased taxes across the board and many other issues that could have been prevented.",joe biden worst president twenty first century crime risen inflation control border overrun leaving american military equipment behind afghanistan people loosing job vaccine mandate russian china move increased tax across board many issue could prevented
36,Every time Biden speaks I have to turn on the subtitle 😂,every time biden speaks turn subtitle
37,Joey Byedin  cares for other nations but not Americans Byedin is a joke that make you broke and woke 😂😂😂😂,joey byedin care nation not american byedin joke make broke woke
38,I am a foreigner and I do not live in USA. NOT EVEN IN AMERICA AT ALL. I ENJOY THIS!!!,foreigner not live usa not even america enjoy
39,"I think america is colapsing as rome did you are the president and jurnalist stops you in the middle of sentence how you can care, america will dye as rome its happening right now under obama and biden not mr President Kennedy",think america colapsing rome president jurnalist stop middle sentence care america dye rome happening right obama biden not mr president kennedy
40,Debat senggol dong,debat senggol dong
41,Those two are not fit to president&#39;s 🤦,two not fit president
42,"Trump said to biden:<br>I don’t know what he said and i don’t think he knows what he said either.<br>America The greatest country in the world have this kind of president for 4decades? Wowww, i respect. Nice good job america.",trump said bideni not know said not think know said eitheramerica greatest country world kind president decade wowww respect nice good job america
43,Who came here to laugh,came laugh
44,"President <br>Biden you should quit, you cannot menage this",president biden quit not menage
45,No new wars under Trump. Wars around the world under Biden. Indisputable fact. Exact opposite of what the tv told us.,new war trump war around world biden indisputable fact exact opposite tv told u
46,F&#39;s in chat America is cooked lol.,f chat america cooked lol
47,what about the kitchen table?,kitchen table
48,This is hilarious 🥲,hilarious
49,"Biden looks like the white version of Al Sharptongue. <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4940"">1:22:20</a>,",biden look like white version al sharptongue
50,"Wait lol did he just say that in the 4 years he’s been president he’s only created 15,000 new jobs and then a further 800,000 manufacturing jobs 🤦🏼‍♀️🤣 in a country that has a population of roughly 300mil ???? <br>Of course there’s more to be done, you’ve done nothing.",wait lol say year president created new job manufacturing job country population roughly mil course done done nothing
51,"Someone that is in Joes mental state should not be allowed to be in any type of power, let alone the president of the United States.",someone joes mental state not allowed type power let alone president united state
52,Biden should be thrown in prison for life.,biden thrown prison life
53,Joe has made the U.S. a laughing stock.,joe made yous laughing stock
54,I get why people are concerned for Biden&#39;s mental acuity; but I don&#39;t understand either why people see Trump as a strong candidate when he doesn&#39;t speak any more clearly than Biden? Help me understand please.,get people concerned bidens mental acuity not understand either people see trump strong candidate not speak clearly biden help understand please
55,"I’m not American. I’m your neighbor from up north. This debate is as bad, if not worse, than our politicians up here. Yikes!",not american neighbor north debate bad not worse politician yikes
56,Biden is such a Disgrace to Our Country get Rid of him,biden disgrace country get rid
57,The idea that joke biden is on stage debating w/ oldtimers instead of sleeping in a cellar is a bad idea.,idea joke biden stage debating w oldtimer instead sleeping cellar bad idea
58,"It&#39;s funny they are asking Trump about ending political violence, when he has just been the victim of such on the highest level, as Biden has indicted him just because he is his opponent in this election. Incredible.",funny asking trump ending political violence victim highest level biden indicted opponent election incredible
59,The more CNN makes it blatantly obvious that they&#39;re hand holding Biden throughout this whole thing and still bidens falling just adds more support for Trump always remember that,cnn make blatantly obvious hand holding biden throughout whole thing still bidens falling add support trump always remember
60,"YUP,YUP,YUP!!!!;Trump IS Right about all of this stuff except abortion, what woman wants there state to make her medicle decisions that should not be anyones bussiness!! So how do we get everything else fixed,( with trump)  but let go of our rights??!!. That&#39;s what is making me toss and turn ...",yupyupyuptrump right stuff except abortion woman want state make medicle decision not anyones bussiness get everything else fixed trump let go right making toss turn
61,Biden voice is dying,biden voice dying
62,Yoo dont u guys have somebody else better for president? Seriously? 😂,yoo not guy somebody else better president seriously
63,I&#39;ve no dog in this fight but crazy joe...has gotta go...,dog fight crazy joehas got go
64,Trump2024✅,trump
65,Can&#39;t someone mute this &quot;and by the way&quot; president? It is very heavy to listen to him.,not someone mute way president heavy listen
66,Painful to watch this circus 🎪,painful watch circus
67,Why do the presidents have to be on death&#39;s door tho?,president death door though
68,I&#39;m a veteran and I hate Biden,veteran hate biden
69,"What president Trump says is just common sense too.. I mean, let’s pretend for a second that the phenomenon of 3rd world nations emptying their prisons into the US isn’t well documented.. it is, but let’s pretend it’s not.. WHY WOULDN’T THEY DO THAT??? Biden told the world we’d let them in with no vetting. Of course they’re going to dump vast quantities of troubled individuals into our once great nation. Leaders in those countries would be crazy not to do that.",president trump say common sense mean let u pretend second phenomenon rd world nation emptying prison u not well documented let u pretend not would not biden told world would let vetting course going dump vast quantity troubled individual great nation leader country would crazy not
70,"Biden is not in Good health to run, needs to Retire.",biden not good health run need retire
71,"People don&#39;t care about the national debt, they care about  the economy!!!!!",people not care national debt care economy
72,Biden is a major Liar!!!!!!,biden major liar
73,The Old Man is delusional,old man delusional
74,Biden&#39;s faces from LA Noire give me nightmares,bidens face la noire give nightmare
75,Nigeria should learn from this,nigeria learn
76,I hate how neither of them answered too many questions but instead would continue their previous point,hate neither answered many question instead would continue previous point
77,&quot;...we beat medicaid!&quot;<br><br>I...didn&#39;t know we&#39;re fighting medicaid? I thought medicaid helped people but I guess I could be wrong. O.o,beat medicaididid not know fighting medicaid thought medicaid helped people guess could wrong oo
78,Biden is very articulate and more than right about everything. I hope to God that Trump does not win. Biden 2024 all the way,biden articulate right everything hope god trump not win biden way
79,Yup give them gas station swherws mine😂😂😂,yup give gas station swherws mine
80,I don&#39;t even know what biden says when he speaks.  All I hear is ta ta ta ta.  Thats who you people vote for to run our country.   It&#39;s insane,not even know biden say speaks hear ta ta ta ta people vote run country insane
81,"This country is going to fall apart, this country needs Jesus",country going fall apart country need jesus
82,Definitely with trump tho,definitely trump though
83,"&quot;We had an economy in free fall.&quot;   If i remember correctly,  the stock market mooned with Trump as president and gas was extremely cheap.  You, Joe, are a disgrace.",economy free fall remember correctly stock market mooned trump president gas extremely cheap joe disgrace
84,Blue for crips red for bloods,blue crips red blood
85,id id been Biden id have faked a medical emergency and left the debate,id id biden id faked medical emergency left debate
86,They forgot to mention that all debate questions were written by the CIA/deep state since this debate was all planned and carried out under the umbrella of Operation Mockingbird.,forgot mention debate question written ciadeep state since debate planned carried umbrella operation mockingbird
87,"<a href=""http://www.youtube.com/results?search_query=%23trump24"">#Trump24</a> 🔥💯✊🏽💯🔥",trump
88,This debate should have been the last straw in your chance to wake up if you&#39;re still a leftist If you haven&#39;t woken up after this debate then you never will and you&#39;re a lost cause,debate last straw chance wake still leftist not woken debate never lost
89,doesn&#39;t look like Joe Biden is it really him?,not look like joe biden really
90,"Prolly the world leaders stayed at other hotel before trump hotel was built in Washington DC, needs to be looked into a little further to find these Dems owned percentages of or was investors in the hotels these leaders stayed in before Trump and this is why they are all riled up and making a big deal out of these world leaders staying in the Trump hotel because they lost money. No doubt.",probably world leader stayed hotel trump hotel built washington dc need looked little find dems owned percentage investor hotel leader stayed trump riled making big deal world leader staying trump hotel lost money doubt
91,Det är pinsamt att USA med över 300 miljoner invånare inte kan få fram bättre kandidater för väldens mest viktiga jobb,det ar pinsamt att usa med miljoner invanare inte kan fa fram battre kandidater valdens mest viktiga jobb
92,TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP TRUMP ❤❤❤❤❤,trump trump trump trump trump trump trump trump trump
93,"2 idiots on the mic, better 2 watch ALF!",idiot mic better watch alf
94,The questions are gaslite...<br>Yall have to remember politics is business money power bills etc ..LISTEN TO TRUMP that man smooth he know what he talking he is a business man and in business yes you win some and lose some but you LEARN ...most president&#39;s don&#39;t come from a business savy background that&#39;s why we always in debt smh,question gasliteyou remember politics business money power bill etc listen trump man smooth know talking business man business yes win lose learn president not come business savy background always debt smh
95,Let&#39;s go Brandon!!! 😂😂😂<br>I come from Poland and I thought we were screwed.<br>Read the cement is the best i can do today 😅,let u go brandon come poland thought screwedread cement best today
96,Australia offers,australia offer
97,😡😡😡😡get him Trump !!!!!!! New York City stand up,get trump new york city stand
98,"<a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=1294"">21:34</a> Trump won the Debate from my perspective<br>😂😂😂😂😂",trump debate perspective
