Comment Number,Comment Content,Processed comments
1,"<a href=""https://www.youtube.com/watch?v=yr9d79TNPfc&amp;t=668"">11:08</a><br>like tf is that",like tf
2,"Watching the US president (from Australia) completely fumble the ball, not just during this debate but the last 3yrs has been so blatantly obvious and unsettling. How some ppl don’t see it is beyond me. <br><br>To who ever reads this, know that God loves you. He sees you and He cares about you. I pray you talk with Him and find love and perfect peace through Jesus Christ. Amen.",watching u president australia completely fumble ball debate last yr blatantly obvious unsettling people see beyond ever read know god love see care pray talk find love perfect peace jesus christ amen
3,Of all the intelligent and articulate professional politicians the length and breadth of America - these two Muppets are your Presidential Candidates!!! Oh my god! What a disgrace!,intelligent articulate professional politician length breadth america two muppets presidential candidate oh god disgrace
4,"Biden is reading everything he&#39;s saying. Meanwhile, Trump is freestyling his responses with finesse and dropping the 🎤",biden reading everything saying meanwhile trump freestyling response finesse dropping
5,"Everytime I do or say something wrong now, my excuse? I have a cold from beating medicaid.",everytime say something wrong excuse cold beating medicaid
6,why is biden&#39;s stare so goofy though,bidens stare goofy though
7,Definitely not prepared by the Biden cult.<br> Why no questions about bidens illegitimate gains in ukraine.,definitely prepared biden cult question bidens illegitimate gain ukraine
8,First presidential debate that did not have the USA flag in the background. Libs hate this country,first presidential debate usa flag background libs hate country
9,Keep  the government out of childcare,keep government childcare
10,Biden mostly made sense when he was blaming trump for things but rarely when answering questions for himself 😂😂😂,biden mostly made sense blaming trump thing rarely answering question
11,Why did they  keep calling trump president.,keep calling trump president
12,It’s crazy how the lesser evil last election became the greater evil only one election later.,crazy lesser evil last election became greater evil one election later
13,You ask way to much about hitting the like button try to at least cut it down to 2 or 3,ask way much hitting like button try least cut
14,What is going on..,going
15,A “Coin toss” on millions of peoples lives is wild,coin toss million people life wild
16,Trump 2024,trump
17,"The American people deserve better than biden. He was a disaster, didnt sound Presidential, has no class and is a crook. I have more sense than to vote for him.",american people deserve better biden disaster sound presidential class crook sense vote
18,"READ THE WHOLE COMMENT BEFORE REPLYING<br>As a trump supporter I believe that Biden won the election even if there was election fraud which there most likely was. There were pictures of <b>**what was said to be**</b> dumped paper ballots. Anyways, even if there wasn’t any election fraud, I still think biden would have won. The reason is because the media shoves all of this misinformation down your throat about trump being some evil monster and biden being some saint. The fact is, none of them are saints, but when it comes down to trump or biden, my vote goes to trump because he is not and has not constantly caused inflation to sky rocket, he can form sentences, and he has respect from our enemies. The respect from our enemies sounds bad when you read it or hear it, but when you think about it, if we had respect from Russia and China and North Korea then there is a much less chance of having a war with them. Abraham Lincoln once said “The best way to get rid of your enemies is to make them your friends.”.",read whole comment replyingas trump supporter believe biden election even election fraud likely picture said dumped paper ballot anyways even election fraud still think biden would reason medium shove misinformation throat trump evil monster biden saint fact none saint come trump biden vote go trump constantly caused inflation sky rocket form sentence respect enemy respect enemy sound bad read hear think respect russia china north korea much le chance war abraham lincoln said best way get rid enemy make friend
19,"OMG, the Bidens and dems are so crooked and senile",omg bidens dems crooked senile
20,Countries of the largest pollution- the US isn’t even in the top 100,country largest pollution u even top
21,Why are the democrats putting this guy up again?<br>Clearly a corrupt senile puppet,democrat putting guy againclearly corrupt senile puppet
22,"Blimey ! American politics is in just as bad shape as ours in Britain ! Surely America has politicians like Hawley and Cruz who would do a decent job ! This was painful to watch, Joe Biden is unable to orate !",blimey american politics bad shape britain surely america politician like hawley cruz would decent job painful watch joe biden unable orate
24,Republicans should be begging the DNC to keep Biden in the election. It’s a guaranteed win for Trump.,republican begging dnc keep biden election guaranteed win trump
25,"From now on...King/Queen UNTIL DEATH, natural or because WE THE PEOPLE KNOW they&#39;re not doing their job...ONE PERSON RESPONSIBLE for political decisions period...no Congress, just Govenors reporting the VOTE OF THE PEOPLE on THEIR AREA ISSUES...then when dead, a NEW FAMILY ELECTED based on MORAL BEHAVIORS.",onkingqueen death natural people know jobone person responsible political decision periodno congress govenors reporting vote people area issuesthen dead new family elected based moral behavior
26,No audience. Biden proceeds to wave at an audience thats not there.,audience biden proceeds wave audience
27,"Why are we not talking about Biden having Notes. It was stated in the RULES, NO NOTHING.",talking biden note stated rule nothing
28,I&#39;m still voting for you Mr President !!!,still voting mr president
29,Just hoping for a candidate who can at least remember what day it is! 🙄,hoping candidate least remember day
30,Wow...Biden thinks that we have not lived the past 8 years in the United States...We must not know how it has been literally living here,wowbiden think lived past year united stateswe must know literally living
31,"IMHO i believe Biden has dementia just as bad as Regan had it in his last yr as president.  <br><br>If he (god help us) wins, his handlers will have to pull off a 25th amendment and we&#39;ll end up with cackling Harris running the nation.",imho believe biden dementia bad regan last yr president god help u win handler pull th amendment end cackling harris running nation
32,🤡🤡 horrible,horrible
33,Trump for 2024,trump
34,GIVE A THUMBS UP 👍🏽 BIDENS IS THE WORST PRESIDENT EVER 💯 I GIVE 10x 👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽,give thumb bidens worst president ever give x
35,didnt most countries/empires fall because of incompetent leaders?,countriesempires fall incompetent leader
36,"The question at <a href=""https://www.youtube.com/watch?v=yr9d79TNPfc&amp;t=3060"">51:00</a> makes no sense. How is that anyone elses problem?",question make sense anyone el problem
37,"If the election is CLEAN, LEGAL, AND FAIR, then yes, of course Trump would accept the results of the election and so will his voters. But we know the childish entitled privileged activist liberal left doesn&#39;t like to play by the rules. They&#39;ll throw a tantrum and won&#39;t accept the results of the election if it&#39;s not in their favor which is why they&#39;ll try to cheat again to gaslight this country into believing another illusion. Why do you think liberal organizations kept pushing out surveys on social media asking who you&#39;d vote for? It&#39;s so they can get a behind the scenes idea of how many people are likely to vote against Democrats in order to get the data needed to calibrate their hackable electronic voting machines to cheat the election again.",election clean legal fair yes course trump would accept result election voter know childish entitled privileged activist liberal left like play rule throw tantrum accept result election favor try cheat gaslight country believing another illusion think liberal organization kept pushing survey social medium asking would vote get behind scene idea many people likely vote democrat order get data needed calibrate hackable electronic voting machine cheat election
38,Trump is pure evil,trump pure evil
39,It needs to stop being called the Israeli OFFENSIVE. They&#39;re DEFENDING themselves &amp; CANNOT lay down their weapons now. Islam IS the anti-Christ.,need stop called israeli offensive defending not lay weapon islam antichrist
40,Joe entered like a senile old man. Trump entered like he owned that building. If y&#39;all didn&#39;t vote based on twitter this man would have never lost the elections previously.,joe entered like senile old man trump entered like owned building vote based twitter man would never lost election previously
41,"<a href=""https://www.youtube.com/watch?v=yr9d79TNPfc&amp;t=671"">11:11</a> was Biden crying?",biden cry
42,Trump makes biden look bad. Inflation is at its worst. People are struggling with food prices to make ends meet. The War and gas prices was also devastating. Someone step up and make america great again. People should not struggle.,trump make biden look bad inflation worst people struggling food price make end meet war gas price also devastating someone step make america great people struggle
43,"All they do is unethically mock one another. Zero leadership. Zero example to young people. Zero speaking about their plan. The way they speak, and especially Trump, is a shame.",unethically mock one another zero leadership zero example young people zero speaking plan way speak especially trump shame
44,After every thing we know i can&#39;t believe that anyone not know what a massive clear and present danger.every word out of trump&#39;s mouth a complete and utter lie,every thing know not believe anyone know massive clear present dangerevery word trump mouth complete utter lie
45,"80 should be the absolute age limit and cutoff to run for president. If not 60, why is Biden running and not in hospice?",absolute age limit cutoff run president biden running hospice
46,USA national debt as right now 34 trillion,usa national debt right trillion
47,"80 should be the absolute age limit and cutoff to run for president. If not 60, why is Biden running and not in hospice?",absolute age limit cutoff run president biden running hospice
48,Trump went to 2trillion  breaking record 😂 why Joe don’t say that he broke trump record with 32 trillion 😂😂,trump went trillion breaking record joe say broke trump record trillion
49,If trump did his job during COVID-19 the death toll would of been 1 tenth but he lied because he didn&#39;t want it to interfere with his fund raising he bragged to how knew it was deadly December of 2019 that&#39;s voluntary manslaughter,trump job covid death toll would tenth lied want interfere fund raising bragged knew deadly december voluntary manslaughter
50,Trump is so great,trump great
51,Biden and his administration are the absolute worst. I live in the proof everyday,biden administration absolute worst live proof everyday
52,"I’m a democrat and will not vote for Bidan if he is the only president left. Worst president, inflation, support for Israel committing genocides and pushing transgender cult to our schools confusing our children. Worse administration. Trump is right and I can’t stand the guy (voted against him elections) we are a 3rd word country now and heading down hill! If it comes down between Trump and Joe I’m voting Trump. Very disappointed with biden he wasted my vote as far as my concerned and he is not going to get it this time. Will vote trump if it comes down to chose between the two, and may change parties completely!<br><br>Hope Trump changes a broken justice system, where prosecutors with unlimited resources/ and tax  payers money can charge / indict anyone without the presence of the defense or defendants to include Trump himself (and he is a billionaire and a former US president not just a regular Citizen) with multiple cumulative sentencing charges against US Citizens for the same crime, causing us to be the country with highest incarceration per capita in the world, harsh sentences destroying lives families without any rehabilitation whatsoever in private sector corrupt incarceration system that benefits from increase of inmates mostly minorities that go out and can&#39;t get a job anywhere cause their records are damaged and can&#39;t  get a public trust or any gov clearance to work for their own government …so they turn back to crime. The crime is at its highest and kills more than what world terrorism combined!!His response is putting more police forces, no rehabilitation programs whatsoever while other countries are turning their prisons into hotels we are building more prisons. A corrupt justice system where a person with expensive lawyer gets a plea deal and the one that can’t afford one gets a harsh sentence for the same crime or not post bail rotting in jail for 6month and losing everything (house, job…) even after the fact he was found not guilty. Saying this is the most admired country he is delusional. This has become the worst country behind the ones with dictatorship regimes? we lost credibility and no one respect us anymore. <br><br>When justice fail everything else will follow and vise versa. A French citizen slapped their president got sentenced to 4 month and a year and half probation.  He will be spending the rest of his life in jail if not dead, would it have happened in here! All modern countries sentencing is based on the highest charge plus the guidelines.  That’s justice! In here black peoples die for a speeding infractions, young kids make a mistake they spend their life in jail and the stigma that follows. We become Natzi police state, and Biden&#39;s answer is put more police forces out there, like it&#39;s going to keep us safe! Shame!!!",democrat vote bidan president left worst president inflation support israel committing genocide pushing transgender cult school confusing child worse administration trump right not stand guy voted election rd word country heading hill come trump joe voting trump disappointed biden wasted vote far concerned going get time vote trump come chose two may change party completelyhope trump change broken justice system prosecutor unlimited resource tax payer money charge indict anyone without presence defense defendant include trump billionaire former u president regular citizen multiple cumulative sentencing charge u citizen crime causing u country highest incarceration per caput world harsh sentence destroying life family without rehabilitation whatsoever private sector corrupt incarceration system benefit increase inmate mostly minority go not get job anywhere record damaged not get public trust gov clearance work government turn back crime crime highest kill world terrorism combinedhis response putting police force rehabilitation program whatsoever country turning prison hotel building prison corrupt justice system person expensive lawyer get plea deal one not afford one get harsh sentence crime post bail rotting jail month losing everything house job even fact found guilty saying admired country delusional become worst country behind one dictatorship regime lost credibility one respect u anymore justice fail everything else follow vise versa french citizen slapped president got sentenced month year half probation spending rest life jail dead would happened modern country sentencing based highest charge plus guideline justice black people die speeding infraction young kid make mistake spend life jail stigma follows become natzi police state bidens answer put police force like going keep u safe shame
53,Biden is a lying scoundrel.,biden lying scoundrel
54,Biden: “the idea”<br><br>We have no ‘idea’ what you’re talking about😂😂😂,biden ideawe idea talking
55,Why didn&#39;t CNN have the American Flag on stage?,cnn american flag stage
56,This was actually one of Biden&#39;s best performances in the last 2 years. I don&#39;t know what everyone is talking about. He is usually way worse.,actually one bidens best performance last year know everyone talking usually way worse
57,"Donald Trump is the Godfather.He&#39;s a real Godfather.<br>It&#39;s boss More powerful than the mafia,",donald trump godfatherhe real godfatherit bos powerful mafia
58,This man is too old to even talk . I am amazed he was able to stand up for the rebate . He need to do himself a favor and step down and not run for another term . Poor Biden need to rehire already 😳,man old even talk amazed able stand rebate need favor step run another term poor biden need rehire already
59,"Also it was Abbott and desantis who bused thousands of immigrants shipped àll over the country as a political stunt PS the immigrants i mentioned crossed the border legally in danger ING innocent men women and children dumping them northern states in the freezing cold, There&#39;s a reason many people call trump orange Hitler",also abbott desantis bused thousand immigrant shipped country political stunt p immigrant mentioned crossed border legally danger ing innocent men woman child dumping northern state freezing cold reason many people call trump orange hitler
60,"Trump said the same talkingpoint as the german left party:<br>&quot; u cant have social security , private property &amp; open borders at the same time . u need to choose 2 of them ! &quot;",trump said talkingpoint german left party not social security private property open border time need choose
61,"the only time the USA citizens became stupid was when they elected you, Trump, as their president! You trump has no class and intelligence don&#39;t have the intelligence of past USA presidents and all you know is using and saying &#39;witch hunt&#39; and being in Twitter most of the time- and most of all bringing your own citizens to destroy things and be in constant anger and rebellions!",time usa citizen became stupid elected trump president trump class intelligence intelligence past usa president know using saying witch hunt twitter time bringing citizen destroy thing constant anger rebellion
62,"I listened to 10 mins of this debate, and although Biden speaks weakly compared to trump, all that Trump is speaking is b.s  and hopping around the bush. The debate  is not only weka because one of the leader speaks weakly but it&#39;s not even related. How do you rebuttal a tax cut only for wealthy, what new jobs? Are you forgetting implementations of Ai that will immediately result in loses of millions of jobs.<br>We will continue to struggle, we will find something. But it sucks that you serve for corporate for 2 decades and then they give you a project that mandates automation and it&#39;s fine print reads assist in brining solution that will automate your  departments job. Precovid and during covid we had digitalization, sure That was helpful and it assisted, it also affected few personnel, but still it was mainly about assisting and convinience. Now it&#39;s about immediate result and 0 dependency on personnel.  More than a race to service customers efficiently it&#39;s about race to quickly profit off of this technology by corporates. Deduct tax on these ppl.. 😂😂😂",listened min debate although biden speaks weakly compared trump trump speaking b hopping around bush debate weka one leader speaks weakly even related rebuttal tax cut wealthy new job forgetting implementation ai immediately result loses million jobswe continue struggle find something suck serve corporate decade give project mandate automation fine print read assist brining solution automate department job precovid covid digitalization sure helpful assisted also affected personnel still mainly assisting convinience immediate result dependency personnel race service customer efficiently race quickly profit technology corporates deduct tax people
63,"Tump had his moments, but by the gods I have neer seen such a weak leader like Biden. THe man can&#39;t talk clearly, he is too old and too weak. He sounds like a bumbaling fool.",tump moment god never seen weak leader like biden man not talk clearly old weak sound like bumbaling fool
64,Question 3: Trump lied again. Trump mishandled Covid. I lived through it. Documented it and it’s fact.,question trump lied trump mishandled covid lived documented fact
65,Trump is Insane and Biden is Senile 😂,trump insane biden senile
66,Trump destroyed him in first 5 minutes 😂,trump destroyed first minute
67,"Question 2: Inflation is too much money chasing too many goods. This was triggered by Covid and tariffs could lower the goods imported, reducing the number of goods and increasing inflation.",question inflation much money chasing many good triggered covid tariff could lower good imported reducing number good increasing inflation
68,"why everybody saying that Biden made a terrible debate - maybe in one or two questions - but he did made good points. I think what Biden has to do is to speak much louder and clearer! I think Trump won on speech delivery. However, a convicted fraudster a liar former president should not even be there to speak not even earned the moral right to be a candidate and more importantly be legally allowed to do that- what a joke!",everybody saying biden made terrible debate maybe one two question made good point think biden speak much louder clearer think trump speech delivery however convicted fraudster liar former president even speak even earned moral right candidate importantly legally allowed joke
69,US makes the best tv entertainment,u make best tv entertainment
70,People making fun of Trumps age is funny haha like Biden isn&#39;t 100x worse?,people making fun trump age funny haha like biden x worse
71,On trump&#39;s orders he had his maga goons sabotage Bidens border bill trump is why the border is weakened,trump order maga goon sabotage bidens border bill trump border weakened
72,"Question 1: Boyh presidents told the truth. However, Trump lied about the greatest ever and he fumbled the ball during Covid. He told people to drink bleach.",question boyh president told truth however trump lied greatest ever fumbled ball covid told people drink bleach
73,"Can we just all agree not to vote until new candidates are an option. This is embarrassing for the entire country, on both sides of the political bird.",agree vote new candidate option embarrassing entire country side political bird
74,Remember trump the dictator empty the treasury with his family and now for many years the americans will pay high taxes for the loss of the treasury.,remember trump dictator empty treasury family many year american pay high tax loss treasury
75,"Why aren&#39;t the 88,000 children brought up that Biden and his administration lost?  Human trafficking needs to be addressed",child brought biden administration lost human trafficking need addressed
