Comment Number,Comment Content,Processed comments
1,Engko kesel lokk trump😮,engko kesel lokk trump
2,Yo gedi q mosok mortir damai klendi tp❤,yo gedi q mosok mortir damai klendi tp
4,GO CHIEFS!!!!!!!!!,go chief
5,"Coming and live in Australia....<br>We have the Highest House Prices in the World, Sydney Australia is the Second Most Expensive City in the World Today....<br>So Dont Bother Coming Here for a Holiday  your Wasting your Money",coming live australiawe highest house price world sydney australia second expensive city world todayso not bother coming holiday wasting money
6,Biden talks like who is lifeless! He hasn&#39;t got a clue. He&#39;s not fit to run,biden talk like lifeless not got clue not fit run
7,The best part was when trump says &quot;I really dont know what he was saying in the end&quot; 😂😂😂,best part trump say really not know saying end
8,"Nice work. Do your homework on Dave, he’s a legit conservative. Tulsi is also great.",nice work homework dave legit conservative tulsi also great
9,Biden is old change trump next president again,biden old change trump next president
10,So who will u vote? Is it Biden or Trump?,vote biden trump
11,I think the debate questions shouldnt ve given beforehand..,think debate question not given beforehand
12,I want to win trump he is true America near to world 3,want win trump true america near world
13,Two clowns,two clown
14,These guys are the aliens from the Simpsons,guy alien simpson
15,I THINK OUR ECONOMY WWW GREAT WHEN TRUMP WAS IN OFFICE TRUMP 2024,think economy www great trump office trump
16,The only thing more embarrassing than this debate is the fact that there are now people who were very vocal about never ever voting for trump who will now give him their vote. <br>Imagine being that much of a screw up that you turn people towards the person they vowed never to back 🤦🏼‍♀️🤣,thing embarrassing debate fact people vocal never ever voting trump give vote imagine much screw turn people towards person vowed never back
17,I hate that they&#39;re not answering the questions,hate not answering question
18,These 2 old men should retire from politics.,old men retire politics
19,This. For.  Biden.   My.  @.   shadowens.   Scott.  Live. Trump.  him.   along.   am. In.  Moing.    Care.   V.  Scott.  Vote.    For.   Trump,biden shadowens scott live trump along moing care v scott vote trump
20,Elder Residents: Shadow of the White House.<br>It&#39;s what this nightmare is.,elder resident shadow white houseit nightmare
21,God i hope Trump can turn this country back to where we need to be before 2028.  VOTE FOR TRUMP 2024 !,god hope trump turn country back need vote trump
22,I swear Trump didn&#39;t need to prepare.  Joe handed him the entire debate,swear trump not need prepare joe handed entire debate
23,You trvyhe fill o the pesitt😊,trvyhe fill pesitt
24,I already knew to vote for Trump. But now it&#39;s very obvious.<br>Biden just lies about what &#39;they are gonna do&#39; while Trump tells it how it really is.,already knew vote trump obviousbiden lie going trump tell really
25,“There’s motion between us” 💸💎🥶,motion u
26,"Trump is the man we all need, biden has destroyed this great country.... The world needs Trump",trump man need biden destroyed great country world need trump
27,"On the survey Trump was 43 rd out of 45 from worst to best. Joe has problems with communication but the survey claims he&#39;s actually doing something for the country compared to Trump. Yeah right, replace Obamas spot with Trump, Trumps spot with Biden and Biden&#39;s spot with Obama",survey trump rd worst best joe problem communication survey claim actually something country compared trump yeah right replace obamas spot trump trump spot biden bidens spot obama
28,I skibidi with,skibidi
29,Dr Jilly husband best friend of Joey Biden that time was threanted by Joey pure evil and criminal Joey Biden,dr jilly husband best friend joey biden time threanted joey pure evil criminal joey biden
30,Trump is just the same slavering guy but America this is your 2 best guys . Change the system.  Take money out off politics its vile promises from big monetary interest groups.  We will do this we will do that nope nothing to help the ordinary man and woman.   Americans just wow this is rough,trump slavering guy america best guy change system take money politics vile promise big monetary interest group nope nothing help ordinary man woman american wow rough
31,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋,lord please help u say god bless everyone reading
32,Lord please help us! That’ is all I will say. God bless everyone reading this!🙏🏽🦋,lord please help u say god bless everyone reading
33,"They created 15,000 jobs in a country of 300 million people... keep that to yourself..",created job country million people keep
34,Biden  Number 1  Starts of slightly coherently .<br>             Number  2  Starts to forgetting about number 1<br>             Number  3  Starts  to a complete word Salad  🥗 end with a mumbling.,biden number start slightly coherently number start forgetting number number start complete word salad end mumbling
35,The bills have went up everywhere in the west we need a peace deal in Ukraine 🇺🇦  and Russia 🇷🇺,bill went everywhere west need peace deal ukraine russia
36,Biden sounds foreign and looks like a robot.,biden sound foreign look like robot
37,We paid into Social Security our whole working lives. No immigrant should get a penny of it or Medicare,paid social security whole working life immigrant get penny medicare
38,"I think President Biden shouldn&#39;t have been allowed to engage the debate, a bit of slurred speeches. Isn&#39;t it appropriate for someone to act in his place? Not very easy being an opposition to a prospective and eloquent president like Mr. Trump. I admire the courage of Joe Biden, he stood tall with valid points in my opinion.",think president biden not allowed engage debate bit slurred speech not appropriate someone act place not easy opposition prospective eloquent president like mr trump admire courage joe biden stood tall valid point opinion
39,Benjamin Netanyahu had warnings I&#39;m sure he knew something it&#39;s pretty obvious that what he is upto,benjamin netanyahu warning sure knew something pretty obvious upto
40,"Julius Malena said it best, you can have a platform to speak and say nothing, that is Mr Joe biden.",julius malena said best platform speak say nothing mr joe biden
41,Just rewatch this masterpiece again lol.,rewatch masterpiece lol
42,this video has 20 million views,video million view
43,I remember Trump planted 3 million trees around USA 🇺🇸nothing done from Bydins  gang exept for there pockets,remember trump planted million tree around usa nothing done bydins gang exept pocket
44,This debates was  fantastic they did well except the situation of Israel and Palestinian and Ukrainian no good answer rather then blaming each other,debate fantastic well except situation israel palestinian ukrainian good answer rather blaming
45,"looks like Biden needs a medic. sad he is even a choice... Trump is kind of a joke, but better then biden",look like biden need medic sad even choice trump kind joke better biden
46,lol wow just wow Biden never should have been president and I voted for trump both times will be voting again for him watching this is just sad man Biden is so far gone it’s crazy man,lol wow wow biden never president voted trump time voting watching sad man biden far gone crazy man
47,If blacks dont vote for Joey Obiden they are not blacks  but wise,black not vote joey obiden not black wise
49,"What I’m seeing from Joe Biden so far after watching half of this “debate” is him mirroring Trump in the way he speaks lol… and constantly accusing him of being a liar with no real evidence to support how he’s lying…… so far this is a massive L for him. <br>Donald Trump is coming through with a far better argument even though I’m not siding with either of them because I think they’re both imbeciles in their own special way. <br>RIP America, was it nice knowing you ? No, not really but you were definitely something.",seeing joe biden far watching half debate mirroring trump way speaks lol constantly accusing liar real evidence support lying far massive l donald trump coming far better argument even though not siding either think imbecile special way rip america nice knowing not really definitely something
50,President Trump all the way 2024 🇺🇸 we pray that Byedin doesnt fall victim to Killery and Obumba scary times indeed 😉,president trump way pray byedin not fall victim killery obumba scary time indeed
51,Good debate but Trump    had credible points indeed,good debate trump credible point indeed
52,Pure entertainment 😂🤣🤣🤣😂,pure entertainment
53,Byedins  real wife cursed Dr Jilly and Joey Byedin before she passed away for what they did to her pure evil 😈,byedins real wife cursed dr jilly joey byedin passed away pure evil
54,And also he dodges to his republican people who are saying its all hoax about climate change<br><br>The question about climate change that is. Thats what im talking here,also dodge republican people saying hoax climate changethe question climate change talking
55,"Why the eff is he numbering his answers 🤣🤣that shows poor presidencies....😭<br><a href=""http://www.youtube.com/results?search_query=%23vote4trump"">#vote4trump</a>🇺🇸❤",eff numbering answer show poor presidenciesvotetrump
56,so y’all get sleepy joe or orange caterpillar,get sleepy joe orange caterpillar
57,This debate makes it clear that the people who are really ruling the world are rubbing our faces in the fact that politics is now a complete joke and democracy is an illusion.,debate make clear people really ruling world rubbing face fact politics complete joke democracy illusion
58,Nobody trusts CNN,nobody trust cnn
59,They did everything they could to boost Biden and make Trump look bad. Biden still fumbled and bumbled throughout the entire debate...,everything could boost biden make trump look bad biden still fumbled bumbled throughout entire debate
60,"SNL doesn’t need to make a parody, the original is Gold enough 🤣",snl not need make parody original gold enough
61,lol madness.,lol madness
62,nothing but lies,nothing lie
63,CNN is corupt and work with government..they knew of Biden failing.,cnn corupt work governmentthey knew biden failing
64,"Biden is embarrassing and Trump said an impressive amount of lies, great",biden embarrassing trump said impressive amount lie great
65,Its so obvious that Biden doesmt understand economy,obvious biden doesmt understand economy
66,Exactly the same battle that happened in 2020,exactly battle happened
67,"Joe Biden is the worst president in the twenty first century. <br><br>Crime has risen, inflation out of control, border&#39;s being overrun, leaving Americans and military equipment behind in Afghanistan, people loosing their jobs over vaccine mandates, Russian and China on the move, increased taxes across the board and many other issues that could have been prevented.",joe biden worst president twenty first century crime risen inflation control border overrun leaving american military equipment behind afghanistan people loosing job vaccine mandate russian china move increased tax across board many issue could prevented
68,Every time Biden speaks I have to turn on the subtitle 😂,every time biden speaks turn subtitle
69,Joey Byedin  cares for other nations but not Americans Byedin is a joke that make you broke and woke 😂😂😂😂,joey byedin care nation not american byedin joke make broke woke
70,I am a foreigner and I do not live in USA. NOT EVEN IN AMERICA AT ALL. I ENJOY THIS!!!,foreigner not live usa not even america enjoy
71,"I think america is colapsing as rome did you are the president and jurnalist stops you in the middle of sentence how you can care, america will dye as rome its happening right now under obama and biden not mr President Kennedy",think america colapsing rome president jurnalist stop middle sentence care america dye rome happening right obama biden not mr president kennedy
72,Debat senggol dong,debat senggol dong
73,Those two are not fit to president&#39;s 🤦,two not fit president
74,"Trump said to biden:<br>I don’t know what he said and i don’t think he knows what he said either.<br>America The greatest country in the world have this kind of president for 4decades? Wowww, i respect. Nice good job america.",trump said bideni not know said not think know said eitheramerica greatest country world kind president decade wowww respect nice good job america
75,Who came here to laugh,came laugh
76,"President <br>Biden you should quit, you cannot menage this",president biden quit not menage
77,No new wars under Trump. Wars around the world under Biden. Indisputable fact. Exact opposite of what the tv told us.,new war trump war around world biden indisputable fact exact opposite tv told u
78,F&#39;s in chat America is cooked lol.,f chat america cooked lol
79,what about the kitchen table?,kitchen table
80,This is hilarious 🥲,hilarious
81,"Biden looks like the white version of Al Sharptongue. <a href=""https://www.youtube.com/watch?v=qqG96G8YdcE&amp;t=4940"">1:22:20</a>,",biden look like white version al sharptongue
