Comment Number,Comment Content,Processed comments
1,We got this now Kamala 2024 woooooo hoooook,got kamala hoooook
2,TRUMP FOR PRESIDENT FOREVER!!!!,trump president forever
3,Kamala Harris will not withstand the public scrutiny going all the way back to back Her indiscretions with Willie Brown Who gave her two political appointments for her shall we say favors not to mention her absolute inability to grasp any serious concepts and speak on anything with any conviction. This is going to be hilarious. But I really don&#39;t think Democratic donors are gonna put their weight behind her so it&#39;s probably a non issue,kamala harris withstand public scrutiny going way back back indiscretion willie brown gave two political appointment shall say favor mention absolute inability grasp serious concept speak anything conviction going hilarious really think democratic donor going put weight behind probably non issue
4,She is not going to win!!,going win
5,Trump old and out dated,trump old dated
6,Where do you get these Democratic Strategists????? Very detached from Reality,get democratic strategist detached reality
7,Do better America.,better america
8,From 0%-100% ....what chance does Kamala have to win the Presidential election?,chance kamala win presidential election
9,Biden to Harris....from the fat into the fire.<br>US politics is bizarre to the Nth degree.<br>It has now become an open door for Trump.,biden harrisfrom fat fireus politics bizarre nth degreeit become open door trump
10,Shes unlikable like Hilary,unlikable hilary
11,Kamala Harris will not withstand the public scrutiny going all the way back to back Her indiscretions with Willie Brown Who gave her two political appointments for her shall we say favors not to mention her absolute inability to grasp any serious concepts and speak on anything with any conviction. This is going to be hilarious. But I really don&#39;t think Democratic donors are gonna put their weight behind her so it&#39;s probably a non issue,kamala harris withstand public scrutiny going way back back indiscretion willie brown gave two political appointment shall say favor mention absolute inability grasp serious concept speak anything conviction going hilarious really think democratic donor going put weight behind probably non issue
12,Who needs old men who think Airports were in 1776,need old men think airport
13,America won&#39;t have any borders left.,america border left
14,Young young Kamala is old too🤡🤡🤡 she’s she’s like in her late 50s that’s not young at all either btw,young young kamala old late young either way
15,She will be what she can be...having been burdened by what has been. Then we will all be what we can be when being unburden by what has been...when it was and when it will be after being what was once been what it has been...,behaving burdened unburden beenwhen
16,This is what all those Black Female superhero video games and movies was getting us ready for.,black female superhero video game movie getting u ready
17,The only strong thing about harris is her breathe and her odor. Trump 2024,strong thing harris breathe odor trump
18,"Vice President Kamala Harris should from now on, do all President issues, so they are common and can imagine that vice is not anymore. She is from now on till november President and after that, too. She is the right choice, she should visit now all leaders in world. To be be active now as a President. So President Joe Biden should step back from now on and let the thunder and the glamour shine on Kamala Harris. God Bless America. 🇺🇸",vice president kamala harris president issue common imagine vice anymore till november president right choice visit leader world active president president joe biden step back let thunder glamour shine kamala harris god bless america
19,There’s many canadiates in the Republican Party the democrat party has bunch of old goons if kamala steps down too,many canadiates republican party democrat party bunch old goon kamala step
20,Bob Marley Convention 🎵 song,bob marley convention song
21,Nothing could be better for the Trump campaign than a Harris run at the presidency!,nothing could better trump campaign harris run presidency
22,She will become the president who’s locked up the most Black people in history,become president locked black people history
23,worst choice ever 😂 She&#39;s in charge of the border its a good indicator of her incompetence,worst choice ever charge border good indicator incompetence
24,Not the hackling liar 🤥🤣🤣🤣,hackling liar
25,Not your body,body
26,😂😂😂😂😂 welp,welp
27,She is from Jamaica Mon,jamaica mon
28,The second woman Trump beats,second woman trump beat
29,"Trump is now the only rich, white, out of touch, old candidate 😅",trump rich white touch old candidate
30,"Younger than Biden or trump, nobody can complain about age. She&#39;s GOTTA BEAT #45, or we&#39;re DOOMED as Americans",younger biden trump nobody complain age got beat doomed american
31,She will rip trump to sreds she is a good prosecuting attorney and way way smarter than trump,rip trump sreds good prosecuting attorney way way smarter trump
32,Trump going to win easy work,trump going win easy work
33,No!! Please no Kamala!! She’s not stable!!😂,please kamala stable
34,She got smoked by Tulsi,got smoked tulsi
35,The Democrat coup is allllmost complete.  Talk about a threat to democracy.....,democrat coup allllmost complete talk threat democracy
36,She is incompetent at all.,incompetent
37,"Na, that video of Tulsi gabbard destroyed her chances.",na video tulsi gabbard destroyed chance
38,hahaha some lol,hahaha lol
39,Time for someone young. Trump is too old.,time someone young trump old
40,I will admit that after everything in the past few days it seems like trump has an extremely high chance of winning this election with most of the favorability going to him. As a republican and trump supporter I would want trump to win because of the great qualities and opportunities for the nation that he brings to the table. I’m glad the Joe Biden finally stepped down because it was obvious that he was not fit for another four years in office. Now thankfully his VP is the democratic nominee for president and she seems fit for the presidency as well although at this point I don’t believe she will win but possibly in the future since she seems favorable to most people.,admit everything past day seems trump extremely high chance winning election favorability going republican trump supporter would want trump win great quality opportunity nation brings table glad joe biden finally stepped obvious fit another four year office thankfully vp democratic nominee president seems fit presidency well although point believe win possibly future since seems favorable people
41,We had no primary so i already decided not to vote.  It doesn&#39;t matter if joe stepped aside. Its too late.,primary already decided vote matter joe stepped aside late
